game_id,season,time,home_scored,home_conceded,home_win,home_percentage,home_id,away_scored,away_conceded,away_win,away_percentage,away_id
2010020001,20102011,2010-10-07 23:00:00+00:00,0,0,0,50,10,0,0,0,50,8
2010020002,20102011,2010-10-07 23:00:00+00:00,0,0,0,50,5,0,0,0,50,4
2010020003,20102011,2010-10-07 16:00:00+00:00,0,0,0,50,30,0,0,0,50,12
2010020004,20102011,2010-10-08 02:00:00+00:00,0,0,0,50,21,0,0,0,50,16
2010020005,20102011,2010-10-08 02:00:00+00:00,0,0,0,50,22,0,0,0,50,20
2010020006,20102011,2010-10-08 19:00:00+00:00,0,0,0,50,29,0,0,0,50,28
2010020007,20102011,2010-10-08 23:00:00+00:00,0,0,0,50,1,0,0,0,50,25
2010020008,20102011,2010-10-08 16:00:00+00:00,0,0,0,50,12,0,0,0,50,30
2010020009,20102011,2010-10-08 23:30:00+00:00,0,0,0,50,17,0,0,0,50,24
2010020010,20102011,2010-10-08 23:30:00+00:00,0,0,0,50,9,0,0,0,50,7
2010020012,20102011,2010-10-09 16:00:00+00:00,0,0,0,50,6,0,0,0,50,27
2010020013,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,7,0,0,0,50,3
2010020014,20102011,2010-10-09 23:00:00+00:00,3,2,1,94.44444444444444,10,0,0,0,50,9
2010020015,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,2,4,3,1,91.48936170212765,25
2010020016,20102011,2010-10-09 23:00:00+00:00,2,3,0,88.88888888888889,5,2,3,0,94.73684210526315,8
2010020017,20102011,2010-10-09 23:00:00+00:00,0,0,0,50,15,0,0,0,50,1
2010020018,20102011,2010-10-09 23:30:00+00:00,0,0,0,50,14,0,0,0,50,11
2010020019,20102011,2010-10-10 00:00:00+00:00,0,0,0,50,19,3,2,1,92.0,4
2010020020,20102011,2010-10-10 00:00:00+00:00,0,0,0,50,18,0,4,0,91.83673469387756,24
2010020021,20102011,2010-10-10 00:30:00+00:00,0,0,0,50,16,0,0,0,50,17
2010020022,20102011,2010-10-09 19:00:00+00:00,0,0,0,50,28,0,0,0,50,29
2010020023,20102011,2010-10-10 02:00:00+00:00,0,0,0,50,23,0,0,0,50,26
2010020025,20102011,2010-10-11 00:00:00+00:00,0,0,0,50,20,2,1,1,93.54838709677419,26
2010020026,20102011,2010-10-11 00:00:00+00:00,4,0,1,92.85714285714286,22,0,0,0,50,13
2010020027,20102011,2010-10-11 20:00:00+00:00,3,4,0,93.33333333333333,1,0,0,0,50,5
