game_id,season,date_time,game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,total
2016020472,20162017,2016-12-18,4,1,1,3,2,1,4,1,0,3,2,0,7,3,0,0.9126606183018093,0.9113232447716941,23,29,2.341463414634146,2.8780487804878048,2.4146341463414633,3.024390243902439,7
2016030114,20162017,2017-04-18,0,4,0,6,3,1,1,4,0,5,3,1,1,2,1,0.9130611167499265,0.8951566529432085,3,8,3.046511627906977,2.5348837209302326,2.8292682926829267,3.2439024390243905,3
2014020254,20142015,2014-11-16,2,1,0,1,6,0,1,0,1,2,3,1,0,3,0,0.9164476805052273,0.9172595169986019,1,21,2.5609756097560976,2.2439024390243905,2.772727272727273,2.7954545454545454,5
2013020508,20132014,2013-12-17,2,3,1,3,0,1,5,0,1,2,4,0,3,1,0,0.9042202143362577,0.9023513144917614,21,25,2.7083333333333335,2.8333333333333335,2.7083333333333335,2.8333333333333335,8
2013030156,20132014,2014-04-29,2,4,1,3,1,0,1,0,1,4,3,0,1,4,1,0.9051794450150374,0.898380174612937,30,21,2.1923076923076925,2.3846153846153846,2.125,3.5,7
2011020153,20112012,2011-10-30,3,1,1,4,3,0,4,7,0,3,2,0,2,3,1,0.8958661530249513,0.9082245415927482,29,24,2.658536585365854,3.073170731707317,2.7954545454545454,3.090909090909091,4
2016020876,20162017,2017-02-20,4,0,0,2,1,0,1,7,0,2,1,1,5,6,0,0.9107806248996554,0.926569957772793,21,14,2.6341463414634148,3.073170731707317,2.5918367346938775,2.4489795918367347,5
2015020619,20152016,2016-01-10,2,3,0,5,4,0,3,5,0,2,4,1,2,1,0,0.9061891429567263,0.9045709984246695,28,10,2.7804878048780486,2.8048780487804876,1.9268292682926829,3.268292682926829,7
2014020389,20142015,2014-12-06,2,1,0,4,2,0,5,1,1,1,2,0,2,0,0,0.9144483530823786,0.913646232460553,16,8,3.5098039215686274,2.372549019607843,2.8,2.74,7
2014020703,20142015,2015-01-28,5,2,0,2,1,0,4,3,0,1,2,0,3,4,1,0.9046132670179836,0.9142858029866396,13,17,2.4146341463414633,3.0,2.7045454545454546,2.6818181818181817,9
2015020239,20152016,2015-11-13,5,3,0,2,5,0,1,5,0,2,5,0,5,2,0,0.8938992626045613,0.9170668992192467,25,52,3.1219512195121952,3.2195121951219514,2.441860465116279,2.6511627906976742,9
2015020275,20152016,2015-11-19,4,1,0,5,2,0,6,3,0,1,0,0,2,3,0,0.9099291007734311,0.9136941274684982,52,23,3.116279069767442,2.604651162790698,2.9545454545454546,2.8636363636363638,5
2018021217,20182019,2019-03-31,1,4,0,3,4,0,3,4,1,1,2,0,4,3,0,0.9148781842967991,0.8992807343917413,53,30,2.4878048780487805,2.8780487804878048,2.7045454545454546,3.5,4
2016020127,20162017,2016-10-30,4,2,0,2,3,1,4,3,1,3,4,1,3,4,0,0.9130611167499265,0.926569957772793,3,14,3.046511627906977,2.5348837209302326,2.5918367346938775,2.4489795918367347,7
2011021190,20112012,2012-04-03,3,2,1,2,3,0,1,2,1,6,2,1,3,1,1,0.9144675104996942,0.9005745267354724,7,10,2.977272727272727,2.727272727272727,2.6341463414634148,3.2195121951219514,11
2015020713,20152016,2016-01-24,1,2,0,4,2,0,5,4,1,5,0,1,0,4,0,0.9113579363016608,0.8995021019921019,17,24,2.9318181818181817,2.522727272727273,3.0,2.8958333333333335,7
2015020174,20152016,2015-11-04,3,5,1,2,1,0,1,4,1,6,0,0,1,4,0,0.9239382063473545,0.918204830013993,3,15,2.769230769230769,2.3461538461538463,2.6875,2.5416666666666665,7
2012020374,20122013,2013-03-11,1,5,0,2,1,1,3,9,0,2,4,0,1,3,0,0.9065624923914272,0.9238784461976179,24,19,2.8780487804878048,2.8048780487804876,2.2,2.2888888888888888,6
2014020202,20142015,2014-11-08,6,3,0,0,6,0,3,4,0,3,2,1,3,0,0,0.9046132670179836,0.9042842768733624,13,20,2.4146341463414633,3.0,2.3658536585365852,2.951219512195122,10
2013021134,20132014,2014-04-01,1,5,1,4,5,0,1,5,0,2,3,1,2,0,0,0.9316663441555956,0.898380174612937,29,21,2.6666666666666665,2.125,2.125,3.5,5
2017021197,20172018,2018-03-30,3,2,1,6,2,0,1,3,0,2,1,0,1,4,0,0.9076557348817669,0.910943605412212,20,29,3.1627906976744184,2.7906976744186047,2.7954545454545454,2.727272727272727,6
2011030234,20112012,2012-05-06,5,0,1,1,0,1,1,2,0,0,1,0,3,2,0,0.9051528409034574,0.8896660294268619,26,19,2.772727272727273,2.5454545454545454,2.902439024390244,3.1219512195121952,4
2013020338,20132014,2013-11-23,3,4,0,4,2,0,2,3,0,2,3,0,0,3,1,0.8846947679385518,0.8828847509222449,20,13,3.25,3.3333333333333335,1.9583333333333333,3.75,7
2012020197,20122013,2013-02-16,3,2,1,2,6,0,3,4,1,3,4,0,6,0,1,0.9162344156268455,0.907831891688048,7,6,3.0,2.682926829268293,3.25,2.6818181818181817,6
2014030223,20142015,2015-05-04,5,3,0,1,2,1,4,1,0,0,6,1,4,1,1,0.9180500146204866,0.9216807399025099,15,3,2.902439024390244,2.8536585365853657,2.814814814814815,2.5185185185185186,1
2013020751,20132014,2014-01-22,3,1,1,1,0,0,1,2,1,2,3,0,4,6,0,0.9316663441555956,0.8969040671570856,29,26,2.6666666666666665,2.125,2.212121212121212,2.909090909090909,8
