game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
0,5,0,0,1,0,2,1,1,1,0,1,2,3,1,0.9335077991703631,0.9220226323161529,19,26,2.847826086956522,1.8478260869565217,2.5,2.173076923076923
7,6,0,2,0,0,5,2,1,5,3,0,3,2,1,0.921548817108314,0.9111391842526038,28,15,3.2888888888888888,2.2444444444444445,2.8292682926829267,3.0
4,1,0,3,2,0,3,4,0,1,3,0,2,7,1,0.9037397079787902,0.918204830013993,20,15,3.152173913043478,2.6739130434782608,2.6875,2.5416666666666665
2,1,0,7,2,1,5,3,0,5,4,1,5,4,0,0.9245280522551736,0.9053136285719604,16,10,2.902439024390244,2.731707317073171,3.2222222222222223,3.2222222222222223
1,2,1,2,4,0,2,1,0,6,3,1,1,2,0,0.8903230619758272,0.9075771873652578,20,1,2.658536585365854,3.1707317073170733,2.977272727272727,3.25
1,2,0,3,1,1,4,3,0,0,3,1,2,3,1,0.9202976747395436,0.913646232460553,5,8,3.1666666666666665,2.375,2.8,2.74
2,0,1,3,4,0,3,1,0,4,1,0,5,2,0,0.9121303255927149,0.9128444565350728,5,3,3.574468085106383,2.6808510638297873,2.5609756097560976,3.4390243902439024
3,1,1,4,5,1,1,2,0,3,4,1,3,1,1,0.9177452142620908,0.901697743276706,26,25,2.8292682926829267,2.1219512195121952,3.2439024390243905,3.1219512195121952
6,3,1,5,2,0,5,4,0,7,2,1,3,4,0,0.915733805286245,0.9186271784603168,4,7,2.977272727272727,2.6136363636363638,1.6585365853658536,3.073170731707317
2,3,1,1,4,1,5,6,0,4,2,0,4,2,0,0.9142662977237551,0.8969941832855238,27,30,3.0833333333333335,2.5833333333333335,2.6666666666666665,3.037037037037037
2,1,0,0,6,0,4,3,0,2,3,1,2,3,0,0.9120340362364547,0.8918002767151274,14,13,3.13953488372093,2.6511627906976742,2.3658536585365852,3.5365853658536586
4,5,1,0,3,1,4,1,0,1,4,0,1,2,1,0.9130611167499265,0.9056603091302774,3,9,3.046511627906977,2.5348837209302326,2.8536585365853657,3.3658536585365852
