game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
1,0,1,8,1,1,4,0,1,5,2,1,1,2,1,1,0,0,8,1,0,4,0,0,5,2,0,1,2,0,0.9047619047619048,0.9615384615384616
6,2,1,2,6,1,3,1,1,7,3,1,2,1,1,6,2,0,2,6,0,3,1,0,7,3,0,2,1,0,0.975,0.9130434782608695
5,2,1,3,5,1,4,6,1,5,2,1,4,2,1,5,2,0,3,5,0,4,6,0,5,2,0,4,2,0,0.8928571428571429,0.8461538461538461
6,2,1,7,4,1,2,6,1,3,2,1,3,1,1,6,2,0,7,4,0,2,6,0,3,2,0,3,1,0,0.8620689655172413,0.9714285714285714
7,2,1,3,2,1,2,1,1,1,3,1,4,3,1,7,2,0,3,2,0,2,1,0,1,3,0,4,3,0,0.8666666666666667,0.8571428571428571
3,1,1,5,3,1,4,3,1,2,3,1,7,1,1,3,1,0,5,3,0,4,3,0,2,3,0,7,1,0,0.8709677419354839,0.875
5,7,1,4,3,1,0,2,1,5,6,1,2,3,1,5,7,0,4,3,0,0,2,0,5,6,0,2,3,0,0.8571428571428571,0.9767441860465116
4,3,1,1,2,1,2,1,1,3,1,1,3,6,1,4,3,0,1,2,0,2,1,0,3,1,0,3,6,0,0.8333333333333334,0.925
1,3,1,1,3,1,2,5,1,3,4,1,2,1,1,1,3,0,1,3,0,2,5,0,3,4,0,2,1,0,0.9545454545454546,0.918918918918919
5,2,1,1,3,1,3,4,1,3,4,1,5,4,1,5,2,0,1,3,0,3,4,0,3,4,0,5,4,0,0.9615384615384616,0.9473684210526315
1,3,1,3,1,1,2,1,1,1,3,1,3,5,1,1,3,0,3,1,0,2,1,0,1,3,0,3,5,0,0.975609756097561,0.9285714285714286
1,0,1,2,3,1,2,3,1,6,2,1,2,1,1,1,0,0,2,3,0,2,3,0,6,2,0,2,1,0,0.8846153846153846,0.8947368421052632
6,0,1,7,1,1,2,4,1,5,4,1,1,2,1,6,0,0,7,1,0,2,4,0,5,4,0,1,2,0,0.8076923076923077,0.875
3,2,1,4,3,1,2,4,1,6,2,1,1,2,1,3,2,0,4,3,0,2,4,0,6,2,0,1,2,0,0.90625,1.0
5,2,1,2,4,1,3,2,1,1,5,1,5,0,1,5,2,0,2,4,0,3,2,0,1,5,0,5,0,0,0.8333333333333334,0.9130434782608695
4,2,1,1,3,1,5,3,1,2,3,1,3,0,1,4,2,0,1,3,0,5,3,0,2,3,0,3,0,0,0.9130434782608695,0.8823529411764706
4,1,1,1,4,1,3,2,1,1,3,1,1,2,1,4,1,0,1,4,0,3,2,0,1,3,0,1,2,0,0.92,0.8235294117647058
0,3,1,3,0,1,3,2,1,3,5,1,3,4,1,0,3,0,3,0,0,3,2,0,3,5,0,3,4,0,0.9545454545454546,0.88
5,1,1,4,5,1,2,3,1,4,3,1,3,2,1,5,1,0,4,5,0,2,3,0,4,3,0,3,2,0,0.9583333333333334,0.8636363636363636
1,2,1,1,4,1,1,5,1,2,1,1,3,1,1,1,2,0,1,4,0,1,5,0,2,1,0,3,1,0,0.9259259259259259,0.8888888888888888
2,5,1,4,3,1,2,7,1,2,3,1,0,4,1,2,5,0,4,3,0,2,7,0,2,3,0,0,4,0,0.8620689655172413,1.0
3,2,1,1,2,1,8,5,1,5,3,1,1,3,1,3,2,0,1,2,0,8,5,0,5,3,0,1,3,0,0.926829268292683,0.8695652173913043
0,2,1,3,0,1,6,4,1,3,4,1,3,2,1,0,2,0,3,0,0,6,4,0,3,4,0,3,2,0,0.9032258064516129,0.9354838709677419
5,3,1,2,3,1,2,1,1,4,2,1,3,1,1,5,3,0,2,3,0,2,1,0,4,2,0,3,1,0,0.8421052631578947,0.875
1,3,1,5,0,1,3,4,1,1,5,1,2,0,1,1,3,0,5,0,0,3,4,0,1,5,0,2,0,0,0.8529411764705882,1.0
1,4,1,1,4,1,1,4,1,4,3,1,2,5,1,1,4,0,1,4,0,1,4,0,4,3,0,2,5,0,0.8518518518518519,0.9285714285714286
5,0,1,6,3,1,2,3,1,2,4,1,3,2,1,5,0,0,6,3,0,2,3,0,2,4,0,3,2,0,1.0,0.8333333333333334
3,4,1,0,4,1,3,4,1,3,2,1,3,1,1,3,4,0,0,4,0,3,4,0,3,2,0,3,1,0,0.9393939393939394,0.8095238095238095
3,4,1,0,4,1,4,1,1,4,3,1,5,3,1,3,4,0,0,4,0,4,1,0,4,3,0,5,3,0,1.0,0.8947368421052632
1,4,1,2,1,1,4,2,1,1,2,1,4,3,1,1,4,0,2,1,0,4,2,0,1,2,0,4,3,0,0.9722222222222222,0.9393939393939394
2,1,1,1,3,1,2,0,1,1,3,1,7,0,1,2,1,0,1,3,0,2,0,0,1,3,0,7,0,0,0.9166666666666666,0.9090909090909091
2,3,1,6,1,1,1,2,1,2,5,1,3,2,1,2,3,0,6,1,0,1,2,0,2,5,0,3,2,0,0.8823529411764706,0.9615384615384616
2,3,1,0,1,1,1,2,1,3,4,1,3,4,1,2,3,0,0,1,0,1,2,0,3,4,0,3,4,0,0.9393939393939394,0.8333333333333334
2,1,1,2,4,1,2,1,1,1,4,1,5,1,1,2,1,0,2,4,0,2,1,0,1,4,0,5,1,0,0.9130434782608695,0.8620689655172413
8,5,1,3,2,1,4,3,1,5,2,1,5,2,1,8,5,0,3,2,0,4,3,0,5,2,0,5,2,0,0.9512195121951219,0.8333333333333334
3,2,1,3,2,1,2,1,1,2,3,1,2,5,1,3,2,0,3,2,0,2,1,0,2,3,0,2,5,0,0.9777777777777777,0.7931034482758621
0,4,1,2,1,1,4,5,1,4,1,1,3,4,1,0,4,0,2,1,0,4,5,0,4,1,0,3,4,0,0.875,0.9393939393939394
2,4,1,6,1,1,2,3,1,4,1,1,4,0,1,2,4,0,6,1,0,2,3,0,4,1,0,4,0,0,0.88,0.9285714285714286
3,4,1,4,3,1,1,2,1,2,5,1,3,5,1,3,4,0,4,3,0,1,2,0,2,5,0,3,5,0,0.896551724137931,0.9583333333333334
6,3,1,1,2,1,1,4,1,5,2,1,4,1,1,6,3,0,1,2,0,1,4,0,5,2,0,4,1,0,0.8235294117647058,0.9090909090909091
2,1,1,2,3,1,4,2,1,4,1,1,0,2,1,2,1,0,2,3,0,4,2,0,4,1,0,0,2,0,0.8636363636363636,1.0
3,5,1,3,5,1,2,6,1,3,5,1,2,3,1,3,5,0,3,5,0,2,6,0,3,5,0,2,3,0,0.896551724137931,0.8518518518518519
7,1,1,6,3,1,5,4,1,5,4,1,1,4,1,7,1,0,6,3,0,5,4,0,5,4,0,1,4,0,0.9629629629629629,0.9166666666666666
3,2,1,1,2,1,3,5,1,0,1,1,3,2,1,3,2,0,1,2,0,3,5,0,0,1,0,3,2,0,0.9615384615384616,0.9705882352941176
3,5,1,1,2,1,3,2,1,2,3,1,7,3,1,3,5,0,1,2,0,3,2,0,2,3,0,7,3,0,0.9302325581395349,0.896551724137931
5,0,1,2,4,1,6,3,1,4,3,1,5,1,1,5,0,0,2,4,0,6,3,0,4,3,0,5,1,0,0.825,0.875
3,2,1,1,2,1,1,2,1,1,4,1,2,5,1,3,2,0,1,2,0,1,2,0,1,4,0,2,5,0,0.9230769230769231,0.8529411764705882
2,0,1,5,6,1,4,2,1,6,3,1,4,0,1,2,0,0,5,6,0,4,2,0,6,3,0,4,0,0,0.9090909090909091,0.8260869565217391
5,6,1,2,7,1,1,2,1,1,3,1,7,2,1,5,6,0,2,7,0,1,2,0,1,3,0,7,2,0,0.9032258064516129,1.0
3,1,1,1,2,1,1,2,1,2,3,1,3,4,1,3,1,0,1,2,0,1,2,0,2,3,0,3,4,0,0.9166666666666666,0.8888888888888888
6,1,1,0,1,1,4,2,1,4,2,1,3,0,1,6,1,0,0,1,0,4,2,0,4,2,0,3,0,0,0.926829268292683,0.9047619047619048
0,2,1,6,1,1,2,3,1,0,2,1,1,4,1,0,2,0,6,1,0,2,3,0,0,2,0,1,4,0,0.7894736842105263,0.9210526315789473
6,4,1,1,4,1,1,3,1,4,3,1,2,0,1,6,4,0,1,4,0,1,3,0,4,3,0,2,0,0,0.9302325581395349,0.9615384615384616
4,1,1,0,1,1,1,4,1,6,2,1,2,4,1,4,1,0,0,1,0,1,4,0,6,2,0,2,4,0,0.9666666666666667,0.9428571428571428
2,3,1,1,2,1,2,3,1,4,3,1,0,3,1,2,3,0,1,2,0,2,3,0,4,3,0,0,3,0,0.96875,0.9310344827586207
2,6,1,5,4,1,4,5,1,6,2,1,1,2,1,2,6,0,5,4,0,4,5,0,6,2,0,1,2,0,0.9459459459459459,0.95
0,4,1,4,1,1,3,4,1,3,4,1,2,0,1,0,4,0,4,1,0,3,4,0,3,4,0,2,0,0,0.8260869565217391,0.9761904761904762
6,4,1,1,5,1,1,3,1,2,3,1,5,0,1,6,4,0,1,5,0,1,3,0,2,3,0,5,0,0,0.8974358974358975,0.896551724137931
3,5,1,2,5,1,3,2,1,1,4,1,4,5,1,3,5,0,2,5,0,3,2,0,1,4,0,4,5,0,0.8947368421052632,0.9166666666666666
4,1,1,5,2,1,3,1,1,6,3,1,5,2,1,4,1,0,5,2,0,3,1,0,6,3,0,5,2,0,0.8205128205128205,0.8787878787878788
3,4,1,3,1,1,6,2,1,1,4,1,3,1,1,3,4,0,3,1,0,6,2,0,1,4,0,3,1,0,0.9166666666666666,0.9117647058823529
0,2,1,2,1,1,2,1,1,2,1,1,3,1,1,0,2,0,2,1,0,2,1,0,2,1,0,3,1,0,0.8,0.9473684210526315
5,2,1,6,1,1,5,0,1,5,3,1,5,2,1,5,2,0,6,1,0,5,0,0,5,3,0,5,2,0,0.8846153846153846,0.8571428571428571
4,2,1,3,2,1,0,3,1,4,2,1,2,1,1,4,2,0,3,2,0,0,3,0,4,2,0,2,1,0,0.8421052631578947,0.926829268292683
4,1,1,3,1,1,7,3,1,0,3,1,2,3,1,4,1,0,3,1,0,7,3,0,0,3,0,2,3,0,0.9642857142857143,0.8461538461538461
1,3,1,1,2,1,4,3,1,5,3,1,4,2,1,1,3,0,1,2,0,4,3,0,5,3,0,4,2,0,0.8421052631578947,0.8888888888888888
