game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
1,5,1,4,5,0,1,5,0,2,3,1,2,0,0,0.9220901684856184,0.8971128213174921,29,21,2.8,3.8,3.1,3.1,3,5
2,6,0,6,4,1,4,1,1,4,3,0,2,3,0,0.8907245641713366,0.906433261558742,9,4,2.8,3.8,2.9,4.3,3,4
1,3,0,2,3,1,0,1,0,5,3,1,2,3,0,0.914053086416478,0.9174449120565183,18,20,3.1,3.2,2.3,3.5,6,3
4,3,0,2,5,0,1,4,0,1,0,1,3,2,0,0.9187898018179734,0.9266124864370944,52,26,2.7,2.7,2.0,2.3,4,3
6,3,1,1,3,0,2,1,0,1,4,0,3,4,1,0.9256507606322308,0.9053136285719604,25,10,3.1,2.5,3.3,4.1,6,5
1,2,1,5,2,1,5,2,0,5,4,0,4,5,1,0.9047999763088622,0.9118225012400786,14,23,2.4,2.8,3.7,3.2,6,6
3,4,0,5,4,0,4,5,0,4,2,1,3,4,0,0.9049977673868052,0.9053136285719604,17,10,3.1,3.2,3.9,4.0,3,6
5,4,1,1,2,0,3,7,0,0,0,1,0,0,1,0.9121303255927148,0.9082023330292004,5,54,3.2,3.9,2.5,3.3,4,4
6,5,0,4,0,1,4,3,0,3,2,0,5,2,1,0.9111775270025256,0.9121978399167026,3,28,2.0,4.1,2.7,3.5,1,4
3,2,0,0,3,1,1,5,0,5,0,0,2,7,0,0.9061628653803788,0.907011399249088,1,15,2.9,2.9,4.2,2.4,5,7
5,4,0,2,3,0,3,1,0,4,1,1,2,1,0,0.9120808227094348,0.9266124864370944,8,26,3.1,3.1,2.0,2.3,4,3
2,1,0,3,7,0,2,3,1,1,4,0,2,3,0,0.9212864695637804,0.8991046894745227,13,29,2.6,2.4,2.9,3.5,6,4
4,2,0,4,5,1,0,3,0,4,5,1,3,4,0,0.9065058137340628,0.8971128213174921,7,21,3.2,3.9,3.1,3.2,4,5
2,3,0,4,7,0,2,3,0,3,2,0,6,3,1,0.9088864771546132,0.9081482524185458,6,22,3.1,3.4,2.8,3.4,4,4
6,2,1,4,3,0,0,3,0,3,4,1,3,5,0,0.9159285578373298,0.9082023330292004,15,54,4.2,2.4,2.5,3.3,7,4
0,4,1,2,3,0,1,0,0,3,1,0,1,6,0,0.9244224361260286,0.9012681171365164,24,53,2.4,2.4,2.4,2.3,6,4
1,4,0,1,3,0,2,3,1,3,1,0,0,6,1,0.9099988679880188,0.9174449120565183,19,20,2.4,3.7,2.6,3.1,3,4
4,2,0,4,6,1,3,5,0,3,1,1,0,5,0,0.914053086416478,0.9190521642700892,18,52,2.6,3.5,2.3,2.6,5,4
2,5,0,5,4,0,4,2,0,1,3,0,1,3,1,0.9267407162596396,0.8919734576336432,30,16,2.2,3.3,3.3,3.7,2,5
4,2,1,5,3,1,8,2,1,0,2,0,2,3,0,0.9111775270025256,0.9081482524185458,3,22,2.1,3.9,2.3,3.6,2,3
4,1,0,2,3,1,5,2,0,0,0,1,0,0,1,0.8951468245970492,0.9082023330292004,4,54,3.1,4.7,2.4,3.9,4,2
2,3,0,5,4,1,1,5,0,2,1,1,1,2,0,0.9212864695637804,0.9118225012400786,13,23,2.7,2.9,3.7,3.2,5,6
4,2,1,5,4,1,1,7,0,4,1,0,3,2,0,0.9159285578373298,0.9053136285719604,15,10,4.2,2.9,4.1,3.6,7,7
3,2,1,3,4,1,3,5,1,1,2,0,1,5,0,0.9267407162596396,0.8933434278687848,30,12,2.5,3.3,3.3,2.7,3,5
2,1,1,1,3,0,3,4,1,3,0,0,3,2,0,0.9120808227094348,0.8952684259619136,8,5,2.8,3.4,3.4,3.7,3,5
4,2,1,3,2,1,3,2,0,1,3,0,3,7,0,0.9047999763088622,0.8991046894745227,14,29,2.1,2.9,3.2,3.5,5,5
2,3,1,3,4,0,4,1,0,1,4,0,3,2,1,0.8907245641713366,0.9266124864370944,9,26,2.9,4.1,2.0,2.2,3,3
2,3,0,2,3,1,2,4,0,1,6,1,3,6,0,0.9088864771546132,0.9017103035634496,6,17,3.4,3.2,3.2,3.3,5,3
5,3,1,3,1,0,1,2,0,4,3,0,4,2,1,0.9187898018179734,0.8933434278687848,52,12,2.3,2.5,3.5,2.7,4,6
1,9,1,6,5,0,0,4,0,3,2,0,5,1,0,0.9256018536088564,0.9174449120565183,21,20,3.2,3.1,2.8,3.1,5,4
2,6,1,1,2,1,4,3,0,3,1,0,5,0,1,0.914053086416478,0.8998445912127053,18,2,2.8,3.1,3.1,2.8,6,6
5,1,1,1,2,0,9,3,1,4,2,1,3,1,1,0.9099988679880188,0.9166239238073576,19,24,2.7,3.9,2.3,2.6,3,5
2,6,0,2,5,0,2,1,1,3,4,1,2,5,0,0.9061628653803788,0.9121978399167026,1,28,3.3,2.8,2.9,3.1,5,4
4,1,0,3,6,0,1,2,1,2,5,0,1,3,0,0.9148781842967992,0.8968041852337367,53,7,2.5,2.1,3.0,4.3,5,3
1,0,1,2,0,1,2,4,0,2,1,1,3,4,0,0.9256507606322308,0.9166239238073576,25,24,3.3,2.9,2.3,2.6,6,5
2,4,0,3,2,1,7,5,1,4,3,1,5,3,0,0.9245280522551736,0.9128367279122748,16,19,3.3,4.0,2.7,3.9,4,3
3,2,1,2,3,0,5,1,0,2,3,1,3,2,0,0.921073903621872,0.9266124864370944,10,26,4.1,3.6,1.6,2.3,7,2
