game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,home_win,away_win
6,0,0,4,3,0,4,5,1,5,0,0,1,3,1,0.9198095387816874,0.9275141933777786,23,27,3.1,2.8,2.5,2.3,6,6
3,2,1,2,3,0,1,2,1,6,2,1,3,1,1,0.9175745600251272,0.9045709984246696,7,10,2.5,2.9,2.7,2.5,4,6
0,5,1,7,4,0,4,3,0,2,1,0,1,4,1,0.9047058204900356,0.9132199923664092,22,16,2.5,2.9,3.7,3.3,5,6
2,6,0,3,4,1,3,6,0,5,0,0,1,4,1,0.8972416211448658,0.9182079878682738,22,10,2.1,3.9,2.0,3.9,1,3
4,1,1,4,3,0,5,2,1,1,6,0,4,5,0,0.9242517046459604,0.8890140517879039,6,14,2.8,1.7,2.9,3.7,8,3
6,1,0,4,1,0,4,1,0,5,3,1,4,3,0,0.8952858773673511,0.9123193649843714,18,14,2.7,3.0,3.3,2.3,5,7
4,3,0,1,2,0,2,1,1,4,6,0,3,6,0,0.9023289784612638,0.9149393851340252,14,1,3.8,3.1,2.9,3.3,6,5
0,8,0,4,1,0,1,4,0,2,1,0,1,5,0,0.8971116004074,0.9078318916880479,10,6,2.7,2.7,2.3,2.7,5,3
3,1,0,1,2,1,2,1,0,0,0,1,0,0,1,0.9142662977237552,0.8828847509222449,27,13,2.7,2.4,2.9,3.5,6,4
5,1,1,3,2,0,2,6,0,5,3,0,2,1,1,0.9072041411097248,0.9082245415927482,30,24,2.6,2.4,2.3,2.8,5,4
5,2,1,4,2,1,5,4,0,8,3,0,4,3,0,0.9176826791418838,0.8919734576336432,54,16,3.8,2.7,2.7,4.1,7,2
4,1,1,2,3,0,4,5,0,5,3,1,1,3,0,0.9149805138873742,0.8908573367127629,12,5,2.8,3.0,3.5,3.0,5,6
1,3,0,3,2,0,5,0,1,4,1,0,5,4,0,0.9057668776412304,0.9160320736930831,17,7,3.0,2.4,2.4,3.3,5,4
6,2,1,3,2,0,2,5,1,0,1,1,2,3,0,0.9228796959134108,0.9076380634446676,7,5,1.7,3.1,3.2,3.2,1,5
1,3,0,3,2,1,3,5,1,3,2,0,3,4,1,0.9147857380463368,0.9009654022652572,13,12,3.3,3.0,2.0,2.8,6,4
3,2,0,1,4,0,2,5,0,3,4,0,4,3,1,0.9148592390726006,0.9044756014823342,18,6,3.0,2.4,3.2,3.5,5,6
3,6,0,0,2,1,0,1,1,4,3,1,3,2,1,0.9051528409034574,0.9163000987654392,26,27,3.1,1.4,2.2,2.1,9,6
2,5,0,2,5,0,4,3,0,1,2,0,2,3,0,0.8973221849368752,0.91178729238048,21,28,2.9,2.5,3.2,3.0,6,5
2,1,0,1,2,0,2,0,0,7,5,0,5,3,1,0.9113579363016608,0.9279525117954954,17,9,2.7,2.2,3.7,3.5,5,5
1,3,0,4,1,0,3,2,0,3,1,1,2,6,0,0.915733805286245,0.8970963619461653,4,25,2.4,2.8,3.2,4.1,4,3
3,2,0,1,0,1,2,5,0,3,2,0,6,2,1,0.9116211891448734,0.9054592163268772,24,28,2.4,3.6,2.9,2.5,2,5
2,3,1,2,4,1,5,2,1,3,4,0,4,0,0,0.9177452142620908,0.9202488057603321,26,30,2.2,2.9,2.8,3.0,3,5
