game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_team_players,away_team_players
0,1,1,6,0,1,3,2,1,1,2,1,1,4,1,0,1,0,6,0,0,3,2,0,1,2,0,1,4,0,"[0.84210526 0.6        0.3        0.         0.6        0.6
 0.         0.3        1.5        0.3        0.         0.6
 0.3        0.6        0.3        1.6       ]",[0.9 0.  0.3 0.3 0.  0.3 0.6 1.  0.  1.  1.9 0.  1.6 0.  1.8 1. ]
2,4,1,3,2,1,2,5,1,1,4,1,2,4,1,2,4,0,3,2,0,2,5,0,1,4,0,2,4,0,"[0.83783784 0.         0.         0.         0.6        0.
 0.5        0.6        0.         0.3        0.3        0.6
 0.3        0.6        2.6        1.4       ]","[0.875 0.    0.3   0.3   0.3   0.    0.    1.3   0.3   0.9   1.7   0.5
 0.3   0.3   0.    0.   ]"
4,1,1,1,6,1,1,2,1,5,2,1,3,4,1,4,1,0,1,6,0,1,2,0,5,2,0,3,4,0,"[0.82352941 0.         1.         0.5        1.2        0.3
 0.3        0.3        0.         1.7        0.5        0.3
 0.5        0.8        1.1        1.6       ]","[0.96296296 0.         0.         0.3        0.6        0.
 0.9        0.3        0.6        0.9        0.         0.
 0.9        0.         1.6        1.1       ]"
0,1,1,4,3,1,4,3,1,5,6,1,6,3,1,0,1,0,4,3,0,4,3,0,5,6,0,6,3,0,"[0.90625 0.9     1.3     0.9     0.3     1.1     0.      1.4     2.9
 0.3     0.8     0.3     0.      2.8     3.8     0.     ]","[0.86666667 0.3        0.6        0.3        1.3        2.1
 0.6        0.3        0.9        1.         0.         1.4
 0.8        0.6        0.         1.3       ]"
4,1,1,4,1,1,2,4,1,2,4,1,2,0,1,4,1,0,4,1,0,2,4,0,2,4,0,2,0,0,"[0.90909091 0.         0.3        0.         0.3        0.5
 0.5        1.3        0.6        0.3        0.         1.1
 1.7        1.9        1.5        0.3       ]","[0.96969697 0.3        0.3        0.3        0.6        0.6
 0.3        0.3        0.6        0.6        1.2        0.3
 0.6        0.5        0.3        0.6       ]"
5,3,1,5,2,1,3,4,1,1,3,1,3,2,1,5,3,0,5,2,0,3,4,0,1,3,0,3,2,0,"[0.875 0.6   0.3   0.3   0.3   1.    1.1   0.6   0.3   0.5   0.9   1.
 0.3   0.3   1.1   0.6  ]","[0.96774194 0.3        0.6        0.3        1.3        0.3
 1.2        0.         0.6        0.9        0.6        0.9
 3.8        1.3        1.4        0.        ]"
3,1,1,7,2,1,4,1,1,5,2,1,3,2,1,3,1,0,7,2,0,4,1,0,5,2,0,3,2,0,"[0.85714286 0.         0.3        1.3        0.6        0.3
 0.3        0.         0.8        1.4        0.         0.
 0.8        1.6        2.4        1.1       ]","[0.96153846 0.         0.         0.         0.         0.6
 0.6        0.         0.6        0.         0.         0.
 0.         1.5        0.9        0.3       ]"
2,1,1,3,2,1,2,5,1,3,2,1,5,4,1,2,1,0,3,2,0,2,5,0,3,2,0,5,4,0,"[0.88461538 0.         0.3        0.         1.6        1.5
 1.9        0.5        1.3        0.9        1.4        1.1
 1.5        0.6        0.9        0.8       ]","[0.925 0.3   1.    0.    1.1   0.    1.1   1.6   0.3   0.    0.6   1.2
 0.9   0.9   0.6   0.3  ]"
1,4,1,3,0,1,0,3,1,4,3,1,1,3,1,1,4,0,3,0,0,0,3,0,4,3,0,1,3,0,"[0.875 0.    0.6   0.3   0.3   0.3   1.4   0.3   0.9   0.3   1.1   0.3
 0.6   0.6   0.3   0.3  ]","[0.91489362 0.         0.3        0.         0.3        0.3
 0.         0.         0.3        1.2        0.3        0.5
 0.9        0.6        0.9        0.3       ]"
2,3,1,3,1,1,2,1,1,0,5,1,3,2,1,2,3,0,3,1,0,2,1,0,0,5,0,3,2,0,"[0.87878788 0.         0.3        0.3        0.6        0.3
 0.         1.1        0.8        1.6        0.         2.3
 2.7        0.3        0.         2.4       ]","[0.84 0.   0.   0.   0.   0.   0.   1.3  0.   1.6  1.3  0.9  0.6  0.
 2.   0.  ]"
3,4,1,4,2,1,5,2,1,3,1,1,7,2,1,3,4,0,4,2,0,5,2,0,3,1,0,7,2,0,"[0.96428571 0.         2.3        0.         0.8        1.4
 0.3        1.3        1.         1.1        1.         4.
 0.3        0.8        0.9        0.3       ]","[0.90322581 0.3        0.         0.5        0.8        1.6
 0.6        0.8        0.6        0.8        1.6        0.
 0.6        0.8        0.6        1.2       ]"
3,4,1,2,4,1,3,4,1,6,2,1,5,2,1,3,4,0,2,4,0,3,4,0,6,2,0,5,2,0,"[0.96153846 0.5        0.3        0.9        0.3        0.
 0.         2.1        0.3        0.8        3.3        1.
 0.3        0.8        1.5        0.9       ]","[0.92 0.3  0.3  0.3  0.   0.3  0.3  0.6  0.   0.6  0.9  1.7  1.   1.
 1.4  0.5 ]"
3,4,1,5,4,1,3,4,1,2,3,1,6,5,1,3,4,0,5,4,0,3,4,0,2,3,0,6,5,0,"[0.87878788 0.         0.         0.6        1.5        0.3
 0.5        1.6        1.         1.1        0.3        2.3
 0.9        2.5        1.5        1.        ]","[0.97297297 1.         1.7        0.5        0.         0.
 0.3        0.9        1.5        1.6        0.6        0.3
 0.8        1.5        0.3        0.6       ]"
4,2,1,2,1,1,3,4,1,3,5,1,3,2,1,4,2,0,2,1,0,3,4,0,3,5,0,3,2,0,"[0.92592593 0.         0.3        0.3        0.         0.6
 0.         0.3        0.3        0.6        1.8        2.
 0.3        1.         1.1        0.8       ]","[0.91666667 0.3        0.3        0.6        0.6        0.3
 0.6        1.7        0.6        0.         0.8        1.3
 0.         0.         0.         1.2       ]"
4,1,1,5,6,1,5,1,1,6,0,1,4,0,1,4,1,0,5,6,0,5,1,0,6,0,0,4,0,0,"[0.95 0.   0.3  0.3  0.   2.2  0.5  0.3  2.5  1.4  1.8  0.3  2.3  1.3
 0.9  0.  ]","[0.84 0.   0.3  0.3  1.6  0.8  0.8  1.6  0.   1.6  0.9  0.   1.1  0.9
 1.1  0.3 ]"
5,3,1,1,2,1,3,1,1,2,3,1,0,3,1,5,3,0,1,2,0,3,1,0,2,3,0,0,3,0,"[0.92592593 0.         0.3        0.3        0.         0.9
 0.         0.3        0.3        1.5        1.2        0.9
 0.         0.6        0.6        0.3       ]","[0.89285714 0.         0.9        2.1        0.         1.6
 0.5        0.         0.9        1.9        0.         0.6
 1.5        1.7        1.         2.2       ]"
2,4,1,1,2,1,2,3,1,1,3,1,7,0,1,2,4,0,1,2,0,2,3,0,1,3,0,7,0,0,"[0.89285714 0.         0.8        0.5        0.8        1.3
 2.6        0.3        1.1        1.2        2.7        1.5
 4.8        0.6        1.1        0.6       ]","[0.87234043 0.         0.         0.3        0.3        0.
 0.         0.         0.3        1.         0.5        0.3
 1.2        0.6        1.         0.9       ]"
