game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,home_perc,away_perc,home_team_id,away_team_id,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg
0,2,0,1,4,0,5,4,0,3,2,1,5,6,0,0.9088029681197867,0.917198994094254,10,8,2.682926829268293,2.902439024390244,2.488888888888889,2.6222222222222222
1,2,1,3,0,0,2,1,0,6,0,0,6,5,0,0.936409593169266,0.9102869356421412,6,4,3.1481481481481484,2.1666666666666665,3.0434782608695654,2.847826086956522
0,1,0,3,1,0,4,2,0,2,0,0,5,2,1,0.9144675104996942,0.9082245415927482,7,24,2.977272727272727,2.727272727272727,2.7954545454545454,3.090909090909091
4,3,0,1,5,0,2,4,1,3,4,0,2,6,1,0.9133188382412974,0.9043717908340565,12,14,3.073170731707317,2.7804878048780486,2.784313725490196,2.9607843137254903
2,3,0,2,4,0,5,4,0,4,3,0,3,4,0,0.9051528409034574,0.9249928335305863,26,3,2.772727272727273,2.5454545454545454,2.4545454545454546,2.3636363636363638
4,0,1,4,3,0,1,4,0,3,4,1,5,2,0,0.8958661530249513,0.9191596256079715,29,18,2.658536585365854,3.073170731707317,2.5531914893617023,2.4893617021276597
4,5,0,5,2,0,0,4,0,3,2,0,1,3,0,0.9277973293509125,0.9122543690569048,23,5,3.018181818181818,2.2,2.8863636363636362,2.5681818181818183
4,3,0,2,1,0,1,2,0,2,0,0,7,5,0,0.9018331036865679,0.8974910666684731,17,9,3.1956521739130435,3.0869565217391304,2.3902439024390243,3.2439024390243905
3,6,0,1,2,0,4,2,0,3,4,0,2,4,0,0.9051528409034574,0.9085589127436937,26,7,2.772727272727273,2.5454545454545454,2.933333333333333,2.911111111111111
1,4,0,2,3,0,1,3,0,5,2,1,1,2,0,0.9116211891448734,0.9249928335305863,24,3,3.090909090909091,2.75,2.4545454545454546,2.3636363636363638
4,2,0,3,5,0,3,1,0,4,3,1,1,6,0,0.9216716764099712,0.9132199923664093,25,16,2.8536585365853657,2.4634146341463414,3.0,2.7777777777777777
6,4,0,2,1,1,3,1,0,1,2,0,2,4,1,0.8983034907965562,0.9102869356421412,1,4,2.292682926829268,2.4634146341463414,3.0434782608695654,2.847826086956522
2,3,1,5,1,1,2,3,0,2,6,0,2,4,0,0.9088029681197867,0.8974910666684731,10,9,2.682926829268293,2.902439024390244,2.3902439024390243,3.2439024390243905
1,3,0,8,1,1,4,3,0,1,6,0,4,5,0,0.936409593169266,0.9043717908340565,6,14,3.1481481481481484,2.1666666666666665,2.784313725490196,2.9607843137254903
0,5,0,3,2,0,0,5,0,1,2,0,2,5,0,0.9225077827199251,0.9111430513995054,15,12,2.9347826086956523,2.369565217391304,2.682926829268293,3.048780487804878
1,3,0,2,3,1,2,1,0,2,0,1,3,0,0,0.9126307901254914,0.9191596256079715,19,18,2.951219512195122,2.5853658536585367,2.5531914893617023,2.4893617021276597
4,3,0,5,4,1,2,5,0,5,4,0,1,3,0,0.8878523623242403,0.9138444732025197,21,17,2.926829268292683,3.658536585365854,3.1914893617021276,2.702127659574468
4,3,0,1,4,1,5,1,1,2,4,0,2,1,0,0.900091766072024,0.9115697474865553,2,13,3.2195121951219514,3.1219512195121952,2.1951219512195124,2.902439024390244
0,5,0,2,4,1,1,2,0,5,3,1,3,4,0,0.9047159473419687,0.9020115695609529,16,25,3.2954545454545454,2.6363636363636362,2.682926829268293,3.2195121951219514
3,4,0,4,2,0,3,2,0,5,4,0,1,4,0,0.9001840126935103,0.9122543690569048,20,5,3.292682926829268,2.8536585365853657,2.8863636363636362,2.5681818181818183
4,2,0,3,4,0,4,1,1,5,3,1,4,1,0,0.9100223378027068,0.9163000987654392,28,27,3.0,2.54,2.744186046511628,2.883720930232558
4,5,1,1,3,0,3,2,0,2,3,1,3,4,0,0.9072041411097247,0.9016642966135187,30,29,2.5609756097560976,2.8780487804878048,2.5853658536585367,3.2195121951219514
3,2,0,3,4,0,1,2,0,1,3,0,1,5,0,0.9047058204900357,0.9122543690569048,22,5,2.2195121951219514,3.048780487804878,2.8863636363636362,2.5681818181818183
4,1,0,4,6,0,4,1,1,2,1,0,3,2,0,0.900091766072024,0.9192983756649868,2,30,3.2195121951219514,3.1219512195121952,2.4634146341463414,2.8048780487804876
1,4,0,2,3,0,1,4,1,3,7,1,5,0,0,0.8958661530249513,0.9154124923566684,29,23,2.658536585365854,3.073170731707317,2.9615384615384617,2.5576923076923075
5,0,0,2,4,0,3,2,1,4,1,0,1,3,0,0.8983034907965562,0.9111430513995054,1,12,2.292682926829268,2.4634146341463414,2.682926829268293,3.048780487804878
3,6,0,2,0,0,6,2,0,3,6,0,6,2,0,0.936409593169266,0.8937428131056742,6,21,3.1481481481481484,2.1666666666666665,2.6097560975609757,3.3658536585365852
0,3,0,2,3,1,2,5,0,0,1,1,3,2,0,0.9216716764099712,0.9163000987654392,25,27,2.8536585365853657,2.4634146341463414,2.744186046511628,2.883720930232558
1,4,0,1,3,0,2,3,1,3,1,0,0,6,1,0.9126307901254914,0.9082051418803344,19,20,2.951219512195122,2.5853658536585367,2.8048780487804876,2.926829268292683
0,3,0,0,1,1,3,4,0,3,6,0,6,3,0,0.9225077827199251,0.9043717908340565,15,14,2.9347826086956523,2.369565217391304,2.784313725490196,2.9607843137254903
3,2,0,4,1,0,2,3,0,5,2,1,2,1,1,0.9119802173331952,0.9115697474865553,5,13,2.7777777777777777,2.4,2.1951219512195124,2.902439024390244
1,3,0,1,5,0,3,2,0,4,6,0,3,1,0,0.9086241786756394,0.9192983756649868,9,30,2.292682926829268,2.8536585365853657,2.4634146341463414,2.8048780487804876
3,1,1,1,5,1,4,5,0,1,5,0,2,0,0,0.8958661530249513,0.8937428131056742,29,21,2.658536585365854,3.073170731707317,2.6097560975609757,3.3658536585365852
1,4,0,3,2,0,4,1,0,1,5,0,2,6,0,0.9127272245711129,0.9154124923566684,4,23,3.148936170212766,2.765957446808511,2.9615384615384617,2.5576923076923075
3,0,0,2,3,1,3,0,0,2,5,0,2,6,0,0.9133188382412974,0.928295177873872,12,6,3.073170731707317,2.7804878048780486,2.9622641509433962,2.4716981132075473
6,2,0,3,2,0,0,4,0,4,5,0,5,4,1,0.9224378976280956,0.9082051418803344,8,20,2.75,2.4545454545454546,2.8048780487804876,2.926829268292683
4,3,0,4,2,0,5,3,0,3,6,0,5,6,0,0.9086241786756394,0.8937428131056742,9,21,2.292682926829268,2.8536585365853657,2.6097560975609757,3.3658536585365852
2,4,0,2,1,0,6,3,0,3,0,0,1,3,0,0.8983034907965562,0.9208148348144086,1,26,2.292682926829268,2.4634146341463414,2.659090909090909,2.409090909090909
2,1,0,1,3,1,0,1,0,3,2,0,0,1,1,0.9119802173331952,0.9097771201945836,5,15,2.7777777777777777,2.4,2.488888888888889,2.488888888888889
3,2,0,5,2,0,1,4,0,2,1,1,3,4,0,0.900091766072024,0.9043717908340565,2,14,3.2195121951219514,3.1219512195121952,2.784313725490196,2.9607843137254903
2,1,0,4,1,1,3,2,0,1,4,0,4,2,1,0.9072041411097247,0.8921331195829559,30,22,2.5609756097560976,2.8780487804878048,2.4878048780487805,3.5121951219512195
1,0,0,2,3,0,0,1,1,2,1,0,2,4,0,0.9144675104996942,0.9111430513995054,7,12,2.977272727272727,2.727272727272727,2.682926829268293,3.048780487804878
0,1,0,2,3,0,4,2,0,2,1,0,1,2,0,0.9216716764099712,0.8896660294268619,25,19,2.8536585365853657,2.4634146341463414,2.902439024390244,3.1219512195121952
3,4,0,5,2,0,5,4,0,3,0,1,2,3,1,0.9233863080108855,0.9163000987654392,18,27,2.8085106382978724,2.3617021276595747,2.744186046511628,2.883720930232558
2,1,0,4,3,0,4,6,0,2,4,0,5,4,1,0.9018331036865679,0.9154124923566684,17,23,3.1956521739130435,3.0869565217391304,2.9615384615384617,2.5576923076923075
3,2,0,1,0,1,2,5,0,3,2,0,6,2,1,0.9116211891448734,0.9054592163268771,24,28,3.090909090909091,2.75,2.98,2.88
2,4,0,4,3,1,1,2,1,6,0,1,3,2,0,0.9155714161083037,0.9043717908340565,13,14,2.5609756097560976,2.682926829268293,2.784313725490196,2.9607843137254903
2,6,0,5,2,0,1,0,0,3,2,1,5,0,0,0.9119802173331952,0.9085589127436937,5,7,2.7777777777777777,2.4,2.933333333333333,2.911111111111111
0,4,0,0,2,0,2,3,0,1,2,0,2,3,0,0.9224378976280956,0.8937428131056742,8,21,2.75,2.4545454545454546,2.6097560975609757,3.3658536585365852
4,1,0,6,2,0,2,5,0,1,5,0,1,2,1,0.9088029681197867,0.9082051418803344,10,20,2.682926829268293,2.902439024390244,2.8048780487804876,2.926829268292683
3,1,1,0,2,0,3,2,1,3,2,0,5,3,0,0.9225077827199251,0.8974910666684731,15,9,2.9347826086956523,2.369565217391304,2.3902439024390243,3.2439024390243905
1,2,0,4,2,0,5,2,0,0,1,1,7,4,0,0.9127272245711129,0.9208148348144086,4,26,3.148936170212766,2.765957446808511,2.659090909090909,2.409090909090909
6,4,1,6,2,1,0,2,0,3,4,0,2,4,0,0.900091766072024,0.9249928335305863,2,3,3.2195121951219514,3.1219512195121952,2.4545454545454546,2.3636363636363638
1,2,1,2,3,0,3,5,0,1,6,0,4,1,0,0.9047058204900357,0.9154124923566684,22,23,2.2195121951219514,3.048780487804878,2.9615384615384617,2.5576923076923075
3,0,0,5,1,0,3,1,0,4,3,0,3,1,0,0.9233863080108855,0.9072980039837518,18,1,2.8085106382978724,2.3617021276595747,1.951219512195122,2.6341463414634148
2,4,0,1,0,0,4,7,0,3,6,0,0,3,0,0.9047159473419687,0.928295177873872,16,6,3.2954545454545454,2.6363636363636362,2.9622641509433962,2.4716981132075473
1,4,1,1,2,1,4,3,0,2,4,0,2,1,0,0.9072041411097247,0.9138444732025197,30,17,2.5609756097560976,2.8780487804878048,3.1914893617021276,2.702127659574468
2,1,0,3,0,1,2,3,0,1,2,1,4,2,0,0.9216716764099712,0.9016642966135187,25,29,2.8536585365853657,2.4634146341463414,2.5853658536585367,3.2195121951219514
4,2,1,4,1,0,5,4,0,1,2,0,1,5,0,0.9100223378027068,0.8896660294268619,28,19,3.0,2.54,2.902439024390244,3.1219512195121952
1,5,0,2,1,1,3,9,0,2,4,0,1,3,0,0.9116211891448734,0.8896660294268619,24,19,3.090909090909091,2.75,2.902439024390244,3.1219512195121952
2,1,0,0,6,0,4,3,0,2,3,1,2,3,0,0.9045643874483461,0.9115697474865553,14,13,3.3469387755102042,2.7346938775510203,2.1951219512195124,2.902439024390244
3,4,0,6,0,0,7,4,0,5,2,0,4,3,0,0.9088029681197867,0.8937428131056742,10,21,2.682926829268293,2.902439024390244,2.6097560975609757,3.3658536585365852
1,2,1,0,3,0,4,1,0,3,2,1,2,1,0,0.8958661530249513,0.9020115695609529,29,25,2.658536585365854,3.073170731707317,2.682926829268293,3.2195121951219514
2,3,1,0,1,0,5,2,1,2,6,0,3,4,0,0.9100223378027068,0.9082245415927482,28,24,3.0,2.54,2.7954545454545454,3.090909090909091
0,1,0,2,4,0,3,4,0,5,2,1,3,5,0,0.9225077827199251,0.9115697474865553,15,13,2.9347826086956523,2.369565217391304,2.1951219512195124,2.902439024390244
3,6,0,4,2,0,3,4,0,1,2,0,4,0,0,0.9072041411097247,0.9122543690569048,30,5,2.5609756097560976,2.8780487804878048,2.8863636363636362,2.5681818181818183
2,3,0,2,6,0,4,1,1,4,3,0,2,3,0,0.9086241786756394,0.9102869356421412,9,4,2.292682926829268,2.8536585365853657,3.0434782608695654,2.847826086956522
4,0,0,2,3,1,6,2,0,1,3,0,6,3,0,0.9047058204900357,0.9191596256079715,22,18,2.2195121951219514,3.048780487804878,2.5531914893617023,2.4893617021276597
1,2,0,0,2,1,3,2,0,2,1,0,4,3,0,0.9224378976280956,0.9085589127436937,8,7,2.75,2.4545454545454546,2.933333333333333,2.911111111111111
0,3,1,3,2,0,2,3,0,2,1,0,4,0,0,0.936409593169266,0.9111430513995054,6,12,3.1481481481481484,2.1666666666666665,2.682926829268293,3.048780487804878
2,3,0,3,4,0,5,3,0,1,2,0,0,1,0,0.9277973293509125,0.9249928335305863,23,3,3.018181818181818,2.2,2.4545454545454546,2.3636363636363638
1,2,1,4,3,0,2,1,0,3,2,1,3,4,0,0.912327153168988,0.9132199923664093,27,16,2.86046511627907,2.7906976744186047,3.0,2.7777777777777777
6,1,1,6,2,0,5,4,0,5,3,1,0,4,0,0.9001840126935103,0.8921331195829559,20,22,3.292682926829268,2.8536585365853657,2.4878048780487805,3.5121951219512195
0,4,1,1,3,1,1,2,0,0,1,0,3,2,0,0.9051528409034574,0.8896660294268619,26,19,2.772727272727273,2.5454545454545454,2.902439024390244,3.1219512195121952
2,3,0,1,2,0,4,3,0,0,3,1,2,3,1,0.9119802173331952,0.917198994094254,5,8,2.7777777777777777,2.4,2.488888888888889,2.6222222222222222
7,0,0,2,1,0,2,3,0,6,4,0,4,2,0,0.936409593169266,0.9005745267354724,6,10,3.1481481481481484,2.1666666666666665,2.6341463414634148,3.2195121951219514
3,2,1,5,4,0,1,0,0,5,1,0,1,3,0,0.9127272245711129,0.9097771201945836,4,15,3.148936170212766,2.765957446808511,2.488888888888889,2.488888888888889
2,3,1,2,5,1,1,2,0,1,5,0,1,5,0,0.9045643874483461,0.9040595750183875,14,2,3.3469387755102042,2.7346938775510203,2.3658536585365852,3.317073170731707
6,2,1,4,3,0,3,2,0,2,4,0,1,2,0,0.9155714161083037,0.9085589127436937,13,7,2.5609756097560976,2.682926829268293,2.933333333333333,2.911111111111111
0,4,0,2,6,0,2,5,0,2,1,1,2,5,0,0.8983034907965562,0.9054592163268771,1,28,2.292682926829268,2.4634146341463414,2.98,2.88
1,4,0,5,2,0,3,4,0,2,4,0,1,2,0,0.9047058204900357,0.9192983756649868,22,30,2.2195121951219514,3.048780487804878,2.4634146341463414,2.8048780487804876
2,4,0,0,3,1,5,2,0,6,5,1,1,4,0,0.9018331036865679,0.9016642966135187,17,29,3.1956521739130435,3.0869565217391304,2.5853658536585367,3.2195121951219514
4,3,0,1,3,0,0,3,1,3,1,0,2,3,0,0.9277973293509125,0.9191596256079715,23,18,3.018181818181818,2.2,2.5531914893617023,2.4893617021276597
6,3,1,2,0,0,1,0,0,3,4,0,2,3,0,0.912327153168988,0.9208148348144086,27,26,2.86046511627907,2.7906976744186047,2.659090909090909,2.409090909090909
5,4,0,4,3,1,7,5,1,4,0,0,1,2,0,0.8878523623242403,0.9132199923664093,21,16,2.926829268292683,3.658536585365854,3.0,2.7777777777777777
3,4,0,1,4,0,3,4,0,4,1,0,1,2,0,0.9001840126935103,0.9249928335305863,20,3,3.292682926829268,2.8536585365853657,2.4545454545454546,2.3636363636363638
2,4,0,4,7,1,3,1,1,4,3,0,2,1,0,0.9045643874483461,0.9085589127436937,14,7,3.3469387755102042,2.7346938775510203,2.933333333333333,2.911111111111111
1,0,0,3,1,1,3,2,0,3,5,0,3,2,1,0.9001840126935103,0.9191596256079715,20,18,3.292682926829268,2.8536585365853657,2.5531914893617023,2.4893617021276597
4,2,0,2,0,0,3,6,0,1,2,0,3,7,0,0.9127272245711129,0.8896660294268619,4,19,3.148936170212766,2.765957446808511,2.902439024390244,3.1219512195121952
4,1,0,5,2,0,0,2,0,1,5,0,5,1,1,0.9277973293509125,0.9192983756649868,23,30,3.018181818181818,2.2,2.4634146341463414,2.8048780487804876
1,0,1,3,1,0,1,3,0,2,5,0,4,2,1,0.9119802173331952,0.9072980039837518,5,1,2.7777777777777777,2.4,1.951219512195122,2.6341463414634148
3,0,1,2,0,1,5,0,0,0,2,0,2,3,0,0.9224378976280956,0.9005745267354724,8,10,2.75,2.4545454545454546,2.6341463414634148,3.2195121951219514
7,3,0,1,2,0,2,4,0,3,6,0,3,4,0,0.9086241786756394,0.9016642966135187,9,29,2.292682926829268,2.8536585365853657,2.5853658536585367,3.2195121951219514
1,0,0,4,3,0,3,2,0,2,3,0,5,3,0,0.9225077827199251,0.9138444732025197,15,17,2.9347826086956523,2.369565217391304,3.1914893617021276,2.702127659574468
3,4,1,4,1,0,1,5,0,2,0,0,4,1,0,0.9155714161083037,0.9040595750183875,13,2,2.5609756097560976,2.682926829268293,2.3658536585365852,3.317073170731707
0,1,0,0,2,0,4,2,1,1,2,0,4,3,1,0.9116211891448734,0.9020115695609529,24,25,3.090909090909091,2.75,2.682926829268293,3.2195121951219514
