game1home,game1away,game1isHome,game2home,game2away,game2isHome,game3home,game3away,game3isHome,game4home,game4away,game4isHome,game5home,game5away,game5isHome,game6home,game6away,game6isHome,game7home,game7away,game7isHome,game8home,game8away,game8isHome,game9home,game9away,game9isHome,game10home,game10away,game10isHome,home_perc,away_perc
2,3,1,4,3,1,3,2,1,1,6,1,3,4,1,2,3,0,4,3,0,3,2,0,1,6,0,3,4,0,0.9117647058823529,0.9090909090909091
5,3,1,3,2,1,5,6,1,4,5,1,2,0,1,5,3,0,3,2,0,5,6,0,4,5,0,2,0,0,0.9615384615384616,0.9166666666666666
5,2,1,3,0,1,5,0,1,3,2,1,1,6,1,5,2,0,3,0,0,5,0,0,3,2,0,1,6,0,0.9615384615384616,0.9333333333333333
1,0,1,3,2,1,2,4,1,3,0,1,2,3,1,1,0,0,3,2,0,2,4,0,3,0,0,2,3,0,0.9,0.9583333333333334
3,2,1,4,3,1,3,1,1,2,1,1,1,0,1,3,2,0,4,3,0,3,1,0,2,1,0,1,0,0,0.8333333333333334,0.8709677419354839
3,2,1,3,2,1,4,2,1,4,3,1,2,4,1,3,2,0,3,2,0,4,2,0,4,3,0,2,4,0,0.9183673469387755,0.9722222222222222
4,0,1,1,4,1,2,3,1,1,2,1,5,3,1,4,0,0,1,4,0,2,3,0,1,2,0,5,3,0,1.0,0.88
2,1,1,2,1,1,2,1,1,4,1,1,4,1,1,2,1,0,2,1,0,2,1,0,4,1,0,4,1,0,0.8085106382978723,0.9
2,3,1,1,3,1,4,3,1,5,1,1,3,5,1,2,3,0,1,3,0,4,3,0,5,1,0,3,5,0,0.9302325581395349,0.7931034482758621
3,2,1,1,3,1,2,1,1,1,2,1,4,2,1,3,2,0,1,3,0,2,1,0,1,2,0,4,2,0,0.8260869565217391,0.9444444444444444
2,3,1,3,4,1,4,2,1,0,4,1,2,3,1,2,3,0,3,4,0,4,2,0,0,4,0,2,3,0,0.9259259259259259,0.9615384615384616
6,1,1,2,1,1,3,1,1,1,4,1,2,3,1,6,1,0,2,1,0,3,1,0,1,4,0,2,3,0,0.9142857142857143,0.8846153846153846
6,0,1,4,1,1,3,2,1,3,2,1,6,3,1,6,0,0,4,1,0,3,2,0,3,2,0,6,3,0,0.8571428571428571,0.9230769230769231
4,2,1,2,1,1,4,7,1,3,4,1,2,1,1,4,2,0,2,1,0,4,7,0,3,4,0,2,1,0,0.8888888888888888,0.9090909090909091
4,0,1,6,3,1,1,4,1,2,4,1,3,1,1,4,0,0,6,3,0,1,4,0,2,4,0,3,1,0,0.925,0.8888888888888888
3,4,1,5,3,1,2,1,1,2,3,1,4,3,1,3,4,0,5,3,0,2,1,0,2,3,0,4,3,0,1.0,0.9032258064516129
5,2,1,3,4,1,8,3,1,2,3,1,5,8,1,5,2,0,3,4,0,8,3,0,2,3,0,5,8,0,0.9117647058823529,0.825
2,1,1,2,0,1,2,6,1,5,1,1,3,1,1,2,1,0,2,0,0,2,6,0,5,1,0,3,1,0,0.9583333333333334,0.8
0,2,1,2,3,1,5,3,1,3,2,1,0,3,1,0,2,0,2,3,0,5,3,0,3,2,0,0,3,0,0.896551724137931,0.9230769230769231
2,3,1,4,5,1,4,5,1,5,4,1,5,0,1,2,3,0,4,5,0,4,5,0,5,4,0,5,0,0,0.9523809523809523,0.9736842105263158
2,1,1,5,2,1,2,4,1,4,3,1,5,4,1,2,1,0,5,2,0,2,4,0,4,3,0,5,4,0,0.9166666666666666,0.8709677419354839
6,2,1,1,2,1,0,3,1,5,3,1,4,3,1,6,2,0,1,2,0,0,3,0,5,3,0,4,3,0,0.9523809523809523,0.9117647058823529
2,1,1,2,3,1,5,3,1,1,4,1,4,3,1,2,1,0,2,3,0,5,3,0,1,4,0,4,3,0,0.92,0.9142857142857143
1,2,1,2,1,1,3,2,1,1,3,1,7,3,1,1,2,0,2,1,0,3,2,0,1,3,0,7,3,0,1.0,0.8181818181818182
5,4,1,5,2,1,4,3,1,2,3,1,2,5,1,5,4,0,5,2,0,4,3,0,2,3,0,2,5,0,0.9545454545454546,0.9047619047619048
3,4,1,2,0,1,4,3,1,0,4,1,0,2,1,3,4,0,2,0,0,4,3,0,0,4,0,0,2,0,0.8888888888888888,0.84
5,4,1,2,4,1,0,6,1,6,2,1,3,4,1,5,4,0,2,4,0,0,6,0,6,2,0,3,4,0,0.8076923076923077,0.8888888888888888
5,3,1,1,5,1,4,1,1,4,0,1,2,3,1,5,3,0,1,5,0,4,1,0,4,0,0,2,3,0,1.0,0.9615384615384616
5,1,1,6,4,1,2,5,1,6,2,1,3,1,1,5,1,0,6,4,0,2,5,0,6,2,0,3,1,0,0.7916666666666666,0.9090909090909091
4,3,1,0,2,1,4,1,1,4,3,1,2,3,1,4,3,0,0,2,0,4,1,0,4,3,0,2,3,0,0.72,0.9090909090909091
3,4,1,0,5,1,6,2,1,0,4,1,4,3,1,3,4,0,0,5,0,6,2,0,0,4,0,4,3,0,0.8095238095238095,0.9285714285714286
5,2,1,3,5,1,5,2,1,5,4,1,5,2,1,5,2,0,3,5,0,5,2,0,5,4,0,5,2,0,0.9117647058823529,0.9032258064516129
4,3,1,1,4,1,1,2,1,1,4,1,4,3,1,4,3,0,1,4,0,1,2,0,1,4,0,4,3,0,0.8928571428571429,0.975609756097561
2,3,1,5,6,1,4,1,1,0,1,1,4,2,1,2,3,0,5,6,0,4,1,0,0,1,0,4,2,0,0.8518518518518519,0.8947368421052632
5,2,1,1,2,1,5,1,1,0,2,1,3,2,1,5,2,0,1,2,0,5,1,0,0,2,0,3,2,0,0.8148148148148148,0.9375
4,1,1,1,0,1,3,2,1,3,1,1,3,2,1,4,1,0,1,0,0,3,2,0,3,1,0,3,2,0,0.8518518518518519,0.85
2,1,1,4,5,1,5,4,1,2,3,1,5,6,1,2,1,0,4,5,0,5,4,0,2,3,0,5,6,0,0.9166666666666666,0.8620689655172413
1,0,1,2,1,1,7,1,1,2,1,1,3,7,1,1,0,0,2,1,0,7,1,0,2,1,0,3,7,0,0.9642857142857143,0.92
1,4,1,6,4,1,1,3,1,1,3,1,3,2,1,1,4,0,6,4,0,1,3,0,1,3,0,3,2,0,0.9375,0.8928571428571429
0,5,1,6,5,1,6,3,1,2,8,1,1,4,1,0,5,0,6,5,0,6,3,0,2,8,0,1,4,0,0.8333333333333334,0.8787878787878788
4,3,1,6,3,1,5,3,1,2,3,1,0,4,1,4,3,0,6,3,0,5,3,0,2,3,0,0,4,0,0.9642857142857143,0.8636363636363636
4,1,1,2,3,1,2,6,1,5,4,1,6,3,1,4,1,0,2,3,0,2,6,0,5,4,0,6,3,0,0.7916666666666666,0.9354838709677419
3,2,1,2,1,1,4,7,1,2,5,1,3,0,1,3,2,0,2,1,0,4,7,0,2,5,0,3,0,0,0.9117647058823529,0.972972972972973
3,2,1,3,1,1,4,2,1,1,0,1,3,1,1,3,2,0,3,1,0,4,2,0,1,0,0,3,1,0,1.0,0.9117647058823529
1,2,1,2,4,1,1,4,1,3,4,1,2,0,1,1,2,0,2,4,0,1,4,0,3,4,0,2,0,0,0.84375,0.7692307692307693
4,7,1,4,3,1,2,3,1,3,1,1,3,4,1,4,7,0,4,3,0,2,3,0,3,1,0,3,4,0,0.8666666666666667,1.0
4,2,1,4,3,1,5,4,1,4,1,1,5,3,1,4,2,0,4,3,0,5,4,0,4,1,0,5,3,0,1.0,0.9523809523809523
4,0,1,6,2,1,2,6,1,3,1,1,7,3,1,4,0,0,6,2,0,2,6,0,3,1,0,7,3,0,0.9411764705882353,0.972972972972973
2,4,1,1,0,1,3,2,1,0,3,1,4,2,1,2,4,0,1,0,0,3,2,0,0,3,0,4,2,0,0.9285714285714286,0.9032258064516129
3,5,1,2,1,1,1,4,1,2,4,1,2,3,1,3,5,0,2,1,0,1,4,0,2,4,0,2,3,0,0.9696969696969697,0.8846153846153846
5,3,1,7,4,1,1,2,1,3,2,1,5,2,1,5,3,0,7,4,0,1,2,0,3,2,0,5,2,0,0.8378378378378378,0.96875
2,5,1,1,3,1,3,2,1,1,0,1,4,1,1,2,5,0,1,3,0,3,2,0,1,0,0,4,1,0,0.8571428571428571,1.0
4,1,1,4,2,1,3,4,1,5,3,1,4,2,1,4,1,0,4,2,0,3,4,0,5,3,0,4,2,0,0.9666666666666667,0.8333333333333334
5,0,1,4,2,1,4,2,1,4,2,1,2,1,1,5,0,0,4,2,0,4,2,0,4,2,0,2,1,0,0.9629629629629629,0.8695652173913043
2,1,1,2,4,1,5,6,1,3,4,1,4,3,1,2,1,0,2,4,0,5,6,0,3,4,0,4,3,0,0.875,0.9230769230769231
2,0,1,1,2,1,2,1,1,2,1,1,0,4,1,2,0,0,1,2,0,2,1,0,2,1,0,0,4,0,0.8387096774193549,0.9655172413793104
6,3,1,2,3,1,4,5,1,2,4,1,5,1,1,6,3,0,2,3,0,4,5,0,2,4,0,5,1,0,0.9333333333333333,0.9473684210526315
3,1,1,4,1,1,3,4,1,2,6,1,2,3,1,3,1,0,4,1,0,3,4,0,2,6,0,2,3,0,0.9375,0.9142857142857143
1,4,1,5,4,1,3,5,1,1,4,1,4,3,1,1,4,0,5,4,0,3,5,0,1,4,0,4,3,0,1.0,0.9393939393939394
1,2,1,3,2,1,3,0,1,2,3,1,2,5,1,1,2,0,3,2,0,3,0,0,2,3,0,2,5,0,0.8181818181818182,1.0
1,4,1,2,6,1,3,2,1,5,2,1,2,1,1,1,4,0,2,6,0,3,2,0,5,2,0,2,1,0,1.0,0.9722222222222222
1,4,1,2,1,1,5,3,1,1,4,1,5,2,1,1,4,0,2,1,0,5,3,0,1,4,0,5,2,0,0.9142857142857143,0.9310344827586207
1,0,1,4,3,1,4,3,1,3,2,1,2,1,1,1,0,0,4,3,0,4,3,0,3,2,0,2,1,0,0.8125,0.8695652173913043
5,3,1,4,1,1,2,4,1,6,7,1,3,0,1,5,3,0,4,1,0,2,4,0,6,7,0,3,0,0,0.9259259259259259,0.8846153846153846
2,3,1,3,4,1,3,2,1,1,4,1,2,1,1,2,3,0,3,4,0,3,2,0,1,4,0,2,1,0,0.9302325581395349,0.9375
6,3,1,0,4,1,4,1,1,3,4,1,3,1,1,6,3,0,0,4,0,4,1,0,3,4,0,3,1,0,0.7,0.9565217391304348
2,1,1,1,0,1,8,1,1,0,2,1,3,2,1,2,1,0,1,0,0,8,1,0,0,2,0,3,2,0,0.9444444444444444,0.9444444444444444
3,4,1,1,3,1,6,2,1,4,5,1,2,1,1,3,4,0,1,3,0,6,2,0,4,5,0,2,1,0,0.9210526315789473,0.896551724137931
2,4,1,1,2,1,2,1,1,2,1,1,5,4,1,2,4,0,1,2,0,2,1,0,2,1,0,5,4,0,0.90625,0.7619047619047619
2,4,1,3,2,1,2,6,1,3,4,1,2,1,1,2,4,0,3,2,0,2,6,0,3,4,0,2,1,0,0.9459459459459459,0.8421052631578947
4,2,1,6,4,1,1,2,1,4,0,1,3,2,1,4,2,0,6,4,0,1,2,0,4,0,0,3,2,0,0.8620689655172413,0.9428571428571428
5,2,1,3,1,1,3,1,1,0,4,1,1,6,1,5,2,0,3,1,0,3,1,0,0,4,0,1,6,0,0.875,0.92
4,0,1,3,2,1,0,2,1,0,1,1,3,0,1,4,0,0,3,2,0,0,2,0,0,1,0,3,0,0,0.9210526315789473,0.9583333333333334
4,2,1,3,2,1,1,5,1,1,2,1,3,2,1,4,2,0,3,2,0,1,5,0,1,2,0,3,2,0,0.9,0.9354838709677419
2,4,1,2,5,1,1,4,1,5,2,1,5,6,1,2,4,0,2,5,0,1,4,0,5,2,0,5,6,0,0.9736842105263158,1.0
4,3,1,4,1,1,5,0,1,1,3,1,7,1,1,4,3,0,4,1,0,5,0,0,1,3,0,7,1,0,0.9166666666666666,0.8823529411764706
4,2,1,0,3,1,4,1,1,5,1,1,1,3,1,4,2,0,0,3,0,4,1,0,5,1,0,1,3,0,0.9615384615384616,0.96875
3,2,1,5,0,1,3,2,1,3,1,1,4,2,1,3,2,0,5,0,0,3,2,0,3,1,0,4,2,0,0.9583333333333334,0.9666666666666667
4,1,1,4,1,1,3,2,1,1,0,1,1,0,1,4,1,0,4,1,0,3,2,0,1,0,0,1,0,0,0.8461538461538461,0.9428571428571428
3,1,1,5,2,1,0,4,1,3,2,1,4,3,1,3,1,0,5,2,0,0,4,0,3,2,0,4,3,0,0.9,0.975
1,2,1,2,1,1,3,5,1,2,3,1,1,0,1,1,2,0,2,1,0,3,5,0,2,3,0,1,0,0,0.9444444444444444,0.9666666666666667
3,2,1,1,4,1,1,4,1,4,0,1,3,2,1,3,2,0,1,4,0,1,4,0,4,0,0,3,2,0,0.8387096774193549,0.8857142857142857
7,3,1,1,3,1,2,1,1,4,5,1,4,3,1,7,3,0,1,3,0,2,1,0,4,5,0,4,3,0,0.8461538461538461,0.9534883720930233
2,3,1,4,1,1,2,3,1,5,2,1,3,1,1,2,3,0,4,1,0,2,3,0,5,2,0,3,1,0,0.8857142857142857,0.9166666666666666
1,3,1,4,2,1,2,1,1,1,4,1,4,1,1,1,3,0,4,2,0,2,1,0,1,4,0,4,1,0,0.9705882352941176,0.9047619047619048
5,1,1,2,1,1,4,2,1,3,2,1,1,2,1,5,1,0,2,1,0,4,2,0,3,2,0,1,2,0,0.8888888888888888,0.96875
1,0,1,1,2,1,5,3,1,0,3,1,5,2,1,1,0,0,1,2,0,5,3,0,0,3,0,5,2,0,0.9142857142857143,0.92
3,2,1,3,4,1,4,3,1,2,0,1,1,4,1,3,2,0,3,4,0,4,3,0,2,0,0,1,4,0,0.9090909090909091,0.9
3,2,1,2,0,1,4,3,1,4,3,1,4,2,1,3,2,0,2,0,0,4,3,0,4,3,0,4,2,0,0.9354838709677419,0.84375
5,6,1,0,3,1,1,4,1,6,4,1,3,4,1,5,6,0,0,3,0,1,4,0,6,4,0,3,4,0,0.9444444444444444,0.875
1,3,1,3,0,1,1,0,1,6,3,1,0,5,1,1,3,0,3,0,0,1,0,0,6,3,0,0,5,0,0.90625,0.875
1,2,1,3,1,1,2,1,1,4,1,1,1,2,1,1,2,0,3,1,0,2,1,0,4,1,0,1,2,0,0.9714285714285714,0.96
0,3,1,5,2,1,2,1,1,3,1,1,4,3,1,0,3,0,5,2,0,2,1,0,3,1,0,4,3,0,0.9642857142857143,0.9705882352941176
4,3,1,3,1,1,5,4,1,3,5,1,4,0,1,4,3,0,3,1,0,5,4,0,3,5,0,4,0,0,0.88,0.8260869565217391
2,3,1,1,3,1,7,0,1,6,3,1,6,3,1,2,3,0,1,3,0,7,0,0,6,3,0,6,3,0,0.9696969696969697,1.0
3,4,1,2,4,1,6,1,1,1,4,1,3,1,1,3,4,0,2,4,0,6,1,0,1,4,0,3,1,0,0.8571428571428571,0.9090909090909091
2,0,1,4,2,1,1,5,1,1,3,1,2,1,1,2,0,0,4,2,0,1,5,0,1,3,0,2,1,0,1.0,0.8695652173913043
5,3,1,4,7,1,4,2,1,5,2,1,5,4,1,5,3,0,4,7,0,4,2,0,5,2,0,5,4,0,0.9777777777777777,0.9259259259259259
2,1,1,3,1,1,5,4,1,1,2,1,2,5,1,2,1,0,3,1,0,5,4,0,1,2,0,2,5,0,0.8529411764705882,0.9428571428571428
1,2,1,4,1,1,3,1,1,4,3,1,6,5,1,1,2,0,4,1,0,3,1,0,4,3,0,6,5,0,0.8333333333333334,0.9777777777777777
5,2,1,3,4,1,3,4,1,1,5,1,5,4,1,5,2,0,3,4,0,3,4,0,1,5,0,5,4,0,0.9310344827586207,0.7741935483870968
2,1,1,4,3,1,2,1,1,3,4,1,5,2,1,2,1,0,4,3,0,2,1,0,3,4,0,5,2,0,0.875,0.9393939393939394
1,2,1,2,3,1,3,4,1,4,3,1,4,1,1,1,2,0,2,3,0,3,4,0,4,3,0,4,1,0,0.9696969696969697,0.9333333333333333
